user3 2017-03-01	Wed	hour:21 		response time:  0:04:00
user2 2017-03-01	Wed	hour:21 		response time:  0:00:00
user2 2017-03-01	Wed	hour:21 		response time:  0:00:00
user1 2017-03-01	Wed	hour:21 		response time:  0:01:00
user1 2017-03-01	Wed	hour:21 		response time:  0:00:00
user2 2017-03-01	Wed	hour:21 		response time:  0:00:00
user1 2017-03-02	Thu	hour:0 		response time:  0:06:00
user1 2017-03-02	Thu	hour:0 		response time:  0:00:00
user1 2017-03-02	Thu	hour:0 		response time:  0:00:00
user1 2017-03-02	Thu	hour:14 		response time:  0:02:00
user1 2017-03-02	Thu	hour:15 		response time:  0:03:00
user3 2017-03-02	Thu	hour:17 		response time:  0:07:00
user3 2017-03-02	Thu	hour:17 		response time:  0:00:00
user2 2017-03-02	Thu	hour:17 		response time:  0:00:00
user2 2017-03-02	Thu	hour:18 		response time:  0:00:00
user3 2017-03-02	Thu	hour:18 		response time:  0:00:00
user2 2017-03-02	Thu	hour:18 		response time:  0:00:00
user1 2017-03-02	Thu	hour:19 		response time:  0:01:00
user3 2017-03-02	Thu	hour:19 		response time:  0:02:00
user3 2017-03-02	Thu	hour:20 		response time:  0:03:00
user3 2017-03-02	Thu	hour:21 		response time:  0:01:00
user1 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:01:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user1 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:01:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:00:00
user3 2017-03-02	Thu	hour:21 		response time:  0:01:00
user3 2017-03-02	Thu	hour:21 		response time:  0:01:00
user3 2017-03-02	Thu	hour:22 		response time:  0:16:00
user1 2017-03-02	Thu	hour:23 		response time:  0:00:00
user3 2017-03-02	Thu	hour:23 		response time:  0:01:00
user3 2017-03-03	Fri	hour:13 		response time:  0:00:00
user3 2017-03-03	Fri	hour:15 		response time:  0:04:00
user1 2017-03-03	Fri	hour:16 		response time:  0:04:00
user1 2017-03-03	Fri	hour:16 		response time:  0:00:00
user1 2017-03-03	Fri	hour:16 		response time:  0:01:00
user1 2017-03-03	Fri	hour:16 		response time:  0:06:00
user3 2017-03-03	Fri	hour:16 		response time:  0:00:00
user2 2017-03-03	Fri	hour:16 		response time:  0:00:00
user1 2017-03-03	Fri	hour:16 		response time:  0:05:00
user2 2017-03-03	Fri	hour:16 		response time:  0:01:00
user3 2017-03-03	Fri	hour:16 		response time:  0:00:00
user2 2017-03-03	Fri	hour:16 		response time:  0:00:00
user3 2017-03-03	Fri	hour:16 		response time:  0:00:00
user2 2017-03-03	Fri	hour:16 		response time:  0:01:00
user3 2017-03-03	Fri	hour:16 		response time:  0:00:00
user2 2017-03-03	Fri	hour:16 		response time:  0:02:00
user2 2017-03-03	Fri	hour:16 		response time:  0:00:00
user3 2017-03-03	Fri	hour:17 		response time:  0:00:00
user2 2017-03-03	Fri	hour:17 		response time:  0:00:00
user3 2017-03-03	Fri	hour:17 		response time:  0:00:00
user2 2017-03-03	Fri	hour:17 		response time:  0:00:00
user2 2017-03-03	Fri	hour:17 		response time:  0:00:00
user3 2017-03-03	Fri	hour:17 		response time:  0:00:00
user3 2017-03-03	Fri	hour:17 		response time:  0:00:00
user2 2017-03-03	Fri	hour:17 		response time:  0:00:00
user2 2017-03-03	Fri	hour:17 		response time:  0:00:00
user2 2017-03-03	Fri	hour:17 		response time:  0:00:00
user1 2017-03-03	Fri	hour:17 		response time:  0:01:00
user1 2017-03-03	Fri	hour:17 		response time:  0:28:00
user2 2017-03-03	Fri	hour:18 		response time:  0:03:00
user2 2017-03-03	Fri	hour:18 		response time:  0:01:00
user2 2017-03-03	Fri	hour:18 		response time:  0:00:00
user3 2017-03-03	Fri	hour:18 		response time:  0:00:00
user1 2017-03-03	Fri	hour:18 		response time:  0:00:00
user1 2017-03-03	Fri	hour:20 		response time:  0:16:00
user1 2017-03-03	Fri	hour:22 		response time:  0:03:00
user2 2017-03-03	Fri	hour:22 		response time:  0:00:00
user1 2017-03-03	Fri	hour:22 		response time:  0:02:00
user2 2017-03-04	Sat	hour:2 		response time:  0:01:00
user1 2017-03-04	Sat	hour:15 		response time:  0:01:00
user2 2017-03-04	Sat	hour:15 		response time:  0:00:00
user2 2017-03-04	Sat	hour:15 		response time:  0:00:00
user2 2017-03-04	Sat	hour:15 		response time:  0:00:00
user1 2017-03-04	Sat	hour:15 		response time:  0:00:00
user3 2017-03-04	Sat	hour:15 		response time:  0:00:00
user1 2017-03-04	Sat	hour:16 		response time:  0:00:00
user1 2017-03-04	Sat	hour:16 		response time:  0:00:00
user2 2017-03-04	Sat	hour:16 		response time:  0:00:00
user2 2017-03-04	Sat	hour:16 		response time:  0:07:00
user1 2017-03-04	Sat	hour:17 		response time:  0:01:00
user1 2017-03-04	Sat	hour:18 		response time:  0:00:00
user1 2017-03-04	Sat	hour:18 		response time:  0:01:00
user3 2017-03-04	Sat	hour:21 		response time:  0:03:00
user1 2017-03-04	Sat	hour:21 		response time:  0:00:00
user1 2017-03-04	Sat	hour:21 		response time:  0:00:00
user1 2017-03-04	Sat	hour:21 		response time:  0:00:00
user3 2017-03-04	Sat	hour:22 		response time:  0:01:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:01:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user3 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user3 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user3 2017-03-04	Sat	hour:22 		response time:  0:00:00
user3 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-04	Sat	hour:22 		response time:  0:00:00
user1 2017-03-06	Mon	hour:5 		response time:  4:24:00
user3 2017-03-06	Mon	hour:21 		response time:  0:17:00
user1 2017-03-07	Tue	hour:17 		response time:  0:00:00
user2 2017-03-07	Tue	hour:19 		response time:  0:03:00
user3 2017-03-07	Tue	hour:19 		response time:  0:00:00
user1 2017-03-07	Tue	hour:19 		response time:  0:01:00
user1 2017-03-07	Tue	hour:19 		response time:  0:03:00
user1 2017-03-08	Wed	hour:17 		response time:  0:00:00
user1 2017-03-08	Wed	hour:18 		response time:  0:03:00
user2 2017-03-08	Wed	hour:18 		response time:  0:01:00
user1 2017-03-09	Thu	hour:0 		response time:  0:00:00
user1 2017-03-09	Thu	hour:0 		response time:  0:00:00
user3 2017-03-09	Thu	hour:0 		response time:  0:01:00
user1 2017-03-09	Thu	hour:0 		response time:  0:01:00
user1 2017-03-09	Thu	hour:22 		response time:  0:01:00
user1 2017-03-09	Thu	hour:22 		response time:  0:00:00
user2 2017-03-09	Thu	hour:22 		response time:  0:01:00
user1 2017-03-09	Thu	hour:22 		response time:  0:00:00
user1 2017-03-09	Thu	hour:23 		response time:  0:03:00
user1 2017-03-09	Thu	hour:23 		response time:  0:04:00
user1 2017-03-09	Thu	hour:23 		response time:  0:00:00
user3 2017-03-09	Thu	hour:23 		response time:  0:00:00
user1 2017-03-09	Thu	hour:23 		response time:  0:00:00
user1 2017-03-09	Thu	hour:23 		response time:  0:10:00
user1 2017-03-10	Fri	hour:13 		response time:  1:10:00
